Rank,Fragment SMILES,Score
158,*c1ccc(C#N)c(C2CC2)c1,0.5443702340126038
159,*c1cc(Cl)cc(CN)c1,0.5441524386405945
160,*c1cc(Cl)cc(C#N)c1,0.54410719871521
161,*c1cccc(F)c1,0.5439034700393677
162,*c1ccc(CO)cc1OC,0.5438424348831177
163,*c1ccc(C)c(Cl)c1,0.5436169505119324
164,*C(=O)c1coc2ccccc12,0.5434312224388123
165,*n1cnc2cc(C)c(C)cc21,0.543388307094574
166,*C(=O)c1ccc2c(c1)OCO2,0.5433579683303833
167,*c1[nH]nc2ncc(F)cc12,0.5432713031768799
168,*c1ccc(C)cc1C,0.5428427457809448
169,*c1ccc(CCO)cc1,0.5427549481391907
170,*c1ccc2c(c1)CNCC2,0.5424901247024536
171,*c1cc(C)ccc1C,0.5424848198890686
172,*C(=O)c1ccc2nccn2c1,0.5422280430793762
173,*c1cccc(C(=O)O)c1O,0.5422053933143616
174,*c1c(C)cc(O)cc1C,0.5421491265296936
175,*c1cccc(C#C)c1,0.5420820116996765
176,*Cn1cnc2c(=N)[nH]cnc21,0.5420353412628174
177,*c1ccc2ccn(C)c2c1,0.5417832136154175
178,*c1nc(=O)c2c([nH]1)CCC2,0.5415157675743103
179,*c1cc(CO)ccc1F,0.5413808822631836
180,*c1ccc(C(N)=O)cc1,0.5413322448730469
181,*c1cc(CC)c(O)cc1O,0.5412641167640686
182,*NC1c2ccccc2CC1O,0.5411691665649414
183,*c1c(C)cccc1C(=O)NC,0.5408778786659241
184,*C(=O)N1Cc2ccncc2C1,0.5408629179000854
185,*Cc1ccc2[nH]c(=O)[nH]c2c1,0.5407679080963135
186,*c1ccc2c(=N)[nH][nH]c2c1,0.5407313704490662
187,*c1ccc(C(C)O)cc1,0.5407304167747498
188,*c1ccc2c(c1)CCNCC2,0.5405186414718628
189,*c1cccc(F)c1C(N)=O,0.5404186844825745
190,*c1cc(C)c(OC)c(C)c1,0.5399664640426636
191,*c1cccc(C(C)C)c1,0.5399144291877747
192,*c1ccc(CON)cc1,0.5397799015045166
